victim;gang;date;Victim Country;Victim sectors;NumberN/AofN/Aemployees;Sales;Ransom Currency;Ransom Paid
Sharm Reef Hotel;spacebears;14/1/2025;Egypt;Hospitality;<25;<$5M;;
Union Studio;akira;14/1/2025;Usa;Construction;<25;<$5M;;
Pittman Construction;lockbit3;14/1/2025;Usa;Construction;320;$70.3M;;
Clnica CES;qilin;14/1/2025;Colombia;;;;;
Thilges & Bernhardt, Attorneys at Law;qilin;14/1/2025;Usa;Law;<25;<$5M;;
Intels Nigeria;ransomhub;14/1/2025;Nigeria;Business service;1628;$293.8M;;
Onecare;incransom;14/1/2025;Canada;Organization;100;$19.8M;;
Findhelp Information Services;incransom;14/1/2025;Canada;Organization;80;$16.9M;;
Biomedical Caledonia Medical Laboratory;incransom;14/1/2025;Jamaica;Healthcare;68;$12.8M;;
Imperial Valley Respite;incransom;14/1/2025;Usa;Organization;<25;<$5M;;
Riverina Medical;incransom;14/1/2025;Australia;Healthcare;;;;
Spectrum;incransom;14/1/2025;Australia;Business service;<25;$5.6 M;;
Solaris Pharma;everest;14/1/2025;Usa;Retail;34;$7.5M;;
Welcome Hall Mission;everest;13/1/2025;Canada;Organization;87;$9M;;
Nash Brothers Construction;lynx;13/1/2025;Usa;Construction;<25;<$5M;;
PHG CPAs;lynx;13/1/2025;Usa;Business service;<25;<$5M;;
Browdy;lynx;13/1/2025;Usa;Law;<25;<$5M;;
SERGAS Group;lynx;13/1/2025;Uae;Energy;303;$27.9 M;;
Pasteurizadora La Mejor;lockbit3;13/1/2025;Colombia;Manufacturing;523;$11.5 M;;
Nicatel;lockbit3;13/1/2025;Uruguay;Retail;<25;<$5M;;
Gelco;lockbit3;13/1/2025;Brazil;Manufacturing;<25;<$5M;;
Viacao Urbana;lockbit3;13/1/2025;Brazil;Manufacturing;762;$41.9M;;
atpformosa.gob.ar;lockbit3;13/1/2025;Argentina;Law;;;;
Candelas y Asociados;lockbit3;13/1/2025;Spain;Real estate;<25;<$5M;;
OYO Hotel;lockbit3;13/1/2025;Usa;Hospitality;700;$290.9M;;
Community Health Northwest Florida;ransomhub;13/1/2025;Usa;Healthcare;337;$55.3M;;
Delap & Waller;lynx;13/1/2025;Uk;Construction;104;$17.7M;;
PT PINS Indonesia;dragonforce;13/1/2025;Indonesia;Manufacturing;296;$60.6M;;
Conad (conad.lan);lynx;13/1/2025;Italy;Retail;77820;$22.3B;;
Novati Constructions;lynx;13/1/2025;Australia;Construction;96;$21.5M;;
DURAYDUNCAN.COM;clop;13/1/2025;Usa;Hospitality;<200;;;
Musicians Institute;ransomhub;13/1/2025;Usa;Education;<25;<$5M;;
telering.de;lockbit3;13/1/2025;Germany;Telecommunication;;;;
bendixengineering;medusalocker;09/01/2025 ;Usa;Construction;<25;<$5M;;
Astaphans;lynx;11/01/2025 ;Dominican republic;Retail;25;$5.3 M;;
Jim Thompson;lynx;11/01/2025 ;Usa;Retail;104;$5.7 M;;
T. Hasegawa USA;hunters;11/01/2025 ;Usa;Manufacturing;105;$50.2 M;;
Costex;hunters;11/01/2025 ;Usa;Manufacturing;300;$81.5 M;;
Patriarche Office of Architecture;hunters;11/01/2025 ;France;Construction;750;$142.9 M;;
COROB;hunters;11/01/2025 ;Italy;Manufacturing;590;$112.7 M;;
RocSearch;hunters;11/01/2025 ;Uk;Software;149;$34 M;;
Unisource Information Services;hunters;11/01/2025 ;Usa;Financial;29;$16.5 M;;
Schuff Steel;blackbasta;11/01/2025 ;Usa;Construction;1744;$961.3 M;;
Granby Industries;blackbasta;11/01/2025 ;Canada;Manufacturing;264;$61 M;;
Plasma-Therm;blackbasta;11/01/2025 ;Usa;Manufacturing;700;$71.9M;;
Arun Estates;blackbasta;11/01/2025 ;Uk;Real estate;532;$82.6M;;
Brachot-Hermant;blackbasta;11/01/2025 ;Belgium;Retail;317;$15.6M;;
Avril Supermarché Santé;blackbasta;11/01/2025 ;Canada;Retail;603;$33.2M;;
Mortgage Investors Group;blackbasta;11/01/2025 ;Usa;Financial;440;$32.2M;;
B-Next;blackbasta;11/01/2025 ;Netherlands;Business service;<25;<$5M;;
Ekomercio Electrónico SA de CV;clop;11/01/2025 ;Mexico;Software;248;$26M;;
Pleasants Construction;qilin;11/01/2025 ;Usa;Construction;350;$222.8M;;
West Haven City;qilin;11/01/2025 ;Usa;Business service;<25;<$5M;;
Peikko;akira;10/01/2025 ;Finland;Retail;2000;$279.6M;;
Sheyenne Tooling & Manufacturing;sarcoma;10/01/2025 ;Usa;Manufacturing;87;$24 M;;
Ichikawa North America Corporation;akira;10/01/2025 ;Usa;Manufacturing;<25;;;
Thomas J. Henry Law;akira;10/01/2025 ;Usa;Law;625;$95 M;;
www.wisesocon.com;ransomhub;10/01/2025 ;Thailand;;;;;
Capesesp;akira;10/01/2025 ;Brazil;Healthcare;598;$44.3M;;
Metalmatrix Clamps;akira;10/01/2025 ;Brazil;Retail;82;$6M;;
Qualinet;rhysida;10/01/2025 ;Canada;Business service;294;$6.3 M;;
American Plumbing & Heating;ransomhub;10/01/2025 ;Usa;Construction;317;$34.2 M;;
OmniRide;fog;10/01/2025 ;Usa;Transportation;92;$6.4 M;;
Xtremmedia;ransomhub;10/01/2025 ;Spain;Retail;<25;<$5M;;
The League Treatment Center;ransomhub;10/01/2025 ;Usa;Organization;275;$15.7 M;;
Temo Textile;ransomhub;10/01/2025 ;Turkey;Manufacturing;164;$20.3 M;;
Excel Resourcing;ransomhub;10/01/2025 ;Uk;Business service;25;<$5M;;
MIE Industrial Sdn Bhd;ransomhub;10/01/2025 ;Malaysia;Construction;89;$18.4 M;;
Thai Rotary Engineering Public;ransomhub;10/01/2025 ;Thailand;Manufacturing;223;$18.1 M;;
Al Ansari Trading Enterprise;embargo;09/01/2025 ;Oman;Manufacturing;383;$336.2 M;;
Pick n Pay;apt73/bashe;09/01/2025 ;South africa;Retail;90000;$6.3 B;;
Happich;threeam;09/01/2025 ;Germany;Manufacturing;126;$24M;;
Permoda;akira;09/01/2025 ;Colombia;Business service;2660;$550.1M;;
Galfer;akira;09/01/2025 ;Spain;Manufacturing;59;$12.4M;;
Chain And Rope Suppliers LTD;akira;09/01/2025 ;Ireland;Construction;28;$7.3M;;
Northern Lights Electric;akira;09/01/2025 ;Usa;Construction;<25;<$5M;;
Fukoku Co. Ltd.;spacebears;09/01/2025 ;Japan;Manufacturing;1157;$552.2M;;
kingpower.com;abyss;08/01/2025 ;Thailand;Retail;5985;$1.3B;;
Press Color;akira;08/01/2025 ;Usa;Business service;<25;<$5M;;
Huntington Hotel Group;termite;08/01/2025 ;Usa;Business service;644;$83.4M;;
fwmep.edu;incransom;08/01/2025 ;Usa;Education;69;$7M;;
sahpetrol;ransomhub;08/01/2025 ;Turkey;Hospitality;67;$15.5M;;
Slawson Companies;akira;08/01/2025 ;Usa;Real estate;104;$194.7M;;
Surface Combustion;akira;08/01/2025 ;Usa;Industrial;95;$18.3M;;
acquafertil;ransomhub;08/01/2025 ;Brazil;Retail;107;$7.5M;;
General Digital;spacebears;08/01/2025 ;Usa;Software;83;$37.7M;;
jimthompson;lynx;07/01/2025 ;Thailand;Hospitality;48;$5.9M;;
General Digital CRM;spacebears;08/01/2025 ;Taiwan;Service;;;;
astaphans;lynx;07/01/2025 ;Usa;Retail;25;$5.3M;;
Arrotex Pharmaceuticals;morpheus;07/01/2025 ;Australia;Manufacturing;405;$92M;;
Pus Gmbh;morpheus;07/01/2025 ;Germany;Construction;<25;<$5M;;
AAA Environmental;akira;07/01/2025 ;Usa;Energy;<25;$7M;;
Drywall Partitions;akira;07/01/2025 ;Usa;Construction;97;$18.7M;;
Drivestream;akira;07/01/2025 ;Usa;Business service;348;$74.3M;;
Bergström Wines;8base;07/01/2025 ;Usa;Retail;<25;<$5M;;
ASCOM S.p.A.;8base;07/01/2025 ;Italy;Service;59;<$5M;;
Omnitravel;8base;07/01/2025 ;Belgium;Service;<25;<$5M;;
